file_path,tiff_file,select,WSI_ID,label,fold
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M001.tif,AI029T 40x_03_M001.tif,True,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M002.tif,AI029T 40x_03_M002.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M003.tif,AI029T 40x_03_M003.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M004.tif,AI029T 40x_03_M004.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M005.tif,AI029T 40x_03_M005.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M006.tif,AI029T 40x_03_M006.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M007.tif,AI029T 40x_03_M007.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M008.tif,AI029T 40x_03_M008.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M009.tif,AI029T 40x_03_M009.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M010.tif,AI029T 40x_03_M010.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M011.tif,AI029T 40x_03_M011.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M012.tif,AI029T 40x_03_M012.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M013.tif,AI029T 40x_03_M013.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M014.tif,AI029T 40x_03_M014.tif,False,AI029,1,4.0
/data/RSNA/Nploid/HE_midTiFF/AI029T 40x_03/AI029T 40x_03_M015.tif,AI029T 40x_03_M015.tif,False,AI029,1,4.0
